kepid,plnt num,kname,dispos,GB,DT
11709124,2,-,-,0.988,0.938
10616571,3,-,-,0.982,0.724
7975727,2,-,-,0.979,0.852
10794087,1,K01316.01,CAND,0.977,0.899
5370302,2,-,-,0.976,0.908
9288786,2,-,-,0.975,0.896
2581316,2,K03681.02,CAND,0.975,0.932
4840513,2,-,-,0.975,0.946
8176650,2,-,-,0.974,0.874
9411166,2,-,-,0.973,0.684
8180020,2,-,-,0.971,0.925
12115188,2,-,-,0.97,0.792
9071386,2,-,-,0.97,0.942
8552719,2,K01792.02,FP,0.969,0.888
9934208,2,-,-,0.966,0.876
3970233,2,-,-,0.964,0.972
9838975,2,-,-,0.962,0.879
7037540,2,-,-,0.962,0.889
5872150,3,-,-,0.96,0.777
12504988,2,-,-,0.954,0.921
9446824,2,-,-,0.953,0.913
5035972,2,-,-,0.95,0.561
