kepid,tce_plnt_num,kepoi_name,koi_disposition,GB,bLR,mean
7037540,2,,,0.9945886812020596,0.9972078931214066,0.995898287161733
7975727,2,,,0.9902319367965856,0.9880985930043652,0.9891652649004754
8176650,2,,,0.9928406647975488,0.9757764496390876,0.9843085572183182
5370302,2,,,0.9921560401334538,0.97283842096745,0.9824972305504519
8180020,2,,,0.9824779409302078,0.9779364156136288,0.9802071782719183
9838975,2,,,0.9944448451369255,0.9637848503951092,0.9791148477660174
5376836,2,,,0.980930573175396,0.975010634854859,0.9779706040151275
10794087,1,K01316.01,CANDIDATE,0.9643626190790792,0.9892027100580424,0.9767826645685608
12504988,2,,,0.9785777153730492,0.9658028396753005,0.9721902775241749
9446824,2,,,0.9642886157267756,0.9798609104583098,0.9720747630925427
5872150,3,,,0.9804948792148072,0.9611761917685856,0.9708355354916964
9995771,1,K03470.01,CANDIDATE,0.975396336690968,0.9640796463490624,0.9697379915200153
9288786,2,,,0.9769868113133412,0.9466557274422804,0.9618212693778108
3970233,2,,,0.9500190954818512,0.9721774550463472,0.9610982752640992
9071386,2,,,0.9865354827606008,0.9329053066865856,0.9597203947235932
7584650,1,K02631.01,CANDIDATE,0.995911359034792,0.9108807975270121,0.9533960782809021
5786676,1,K00650.01,CANDIDATE,0.9566652314092324,0.9435437788958112,0.9501045051525219
8552719,2,K01792.02,FALSE POSITIVE,0.9899262961804336,0.909302867653159,0.9496145819167963
4840513,2,,,0.9807628355574518,0.9166591630776944,0.9487109993175731
3734868,2,,,0.911962778035014,0.9705486469274636,0.9412557124812388
5534941,1,K02332.01,CANDIDATE,0.9122439406302599,0.9698010244726044,0.9410224825514322
6762829,2,,,0.9560797648015372,0.9250462161484321,0.9405629904749846
2718778,1,K02489.01,CANDIDATE,0.9300244532926648,0.949752677389922,0.9398885653412934
10904857,2,,,0.9652124811697276,0.8986947458657927,0.9319536135177602
10091110,3,,,0.966962407433468,0.8534648877675332,0.9102136476005005
10016874,1,K00426.01,CANDIDATE,0.8934227392410453,0.9242254286209176,0.9088240839309815
5035972,2,,,0.9253317235987896,0.8848026452156703,0.90506718440723
10616571,3,,,0.956553056020859,0.8457273804785451,0.9011402182497021
3342592,2,,,0.924634575366822,0.8639791462110773,0.8943068607889497
1026957,1,K00958.01,CANDIDATE,0.8865146474032961,0.8788702159678119,0.882692431685554
4814502,1,K04004.01,CANDIDATE,0.8994984083130798,0.8649848966620733,0.8822416524875766
11126381,1,K01863.01,CANDIDATE,0.9446013471366512,0.805476210535626,0.8750387788361387
2581316,2,K03681.02,CANDIDATE,0.995442045341683,0.7434660130016679,0.8694540291716755
8953059,2,,,0.9656160993587978,0.7570214269864773,0.8613187631726376
4851464,2,,,0.9132744577604672,0.8047904964273186,0.8590324770938929
9649222,2,,,0.9033681298018909,0.8144421962830907,0.8589051630424908
5775129,1,K02802.01,CANDIDATE,0.8368038487044792,0.8741586789823745,0.8554812638434268
11709124,2,,,0.9983105638558232,0.7005503728619059,0.8494304683588645
4242147,1,K01934.01,CANDIDATE,0.9297391925548067,0.7667095735176646,0.8482243830362357
6698670,2,,,0.8712989662053255,0.8220630651856848,0.8466810156955051
2574338,1,K01030.01,CANDIDATE,0.7285706379007597,0.9498333570409332,0.8392019974708465
8892910,2,,,0.8899823494378368,0.7771910647461997,0.8335867070920182
5372966,2,,,0.9353747215153242,0.7295776613110111,0.8324761914131676
5270698,2,,,0.9561132042436864,0.6779904637305371,0.8170518339871118
5978559,1,K02321.01,CANDIDATE,0.9364907735568944,0.6953141408131642,0.8159024571850293
5356593,2,,,0.7816062413928221,0.8312294144355405,0.8064178279141814
8263545,1,K02822.01,CANDIDATE,0.7403285104853387,0.8706926078524811,0.8055105591689099
9411166,2,,,0.9846329823251234,0.6217104614332596,0.8031717218791915
11030475,2,,,0.8967328838775921,0.7076831308936312,0.8022080073856117
10418797,2,,,0.8230302074834561,0.7739845534181503,0.7985073804508032
9346253,2,,,0.906570900325532,0.687283306464557,0.7969271033950445
7023960,2,,,0.9595507822493816,0.6281022441046882,0.7938265131770349
5780885,2,,,0.7702877827204772,0.8166020310473305,0.7934449068839038
11189127,2,,,0.6431510940240401,0.938970134909923,0.7910606144669816
12115188,2,,,0.9682869056983436,0.59231912418455,0.7803030149414468
3102000,2,,,0.8455454286739258,0.7069042543726416,0.7762248415232837
11408935,2,,,0.8651076312909298,0.6839469819773711,0.7745273066341505
10485250,2,,,0.8103270297121671,0.7377008140780309,0.774013921895099
4650733,1,K01659.01,CANDIDATE,0.8900077426384215,0.6477287978810989,0.7688682702597602
8230809,2,,,0.8567424394777623,0.6783014798793456,0.767521959678554
10186945,2,,,0.9519232383044921,0.5803529034307359,0.766138070867614
2449431,1,K02009.01,CANDIDATE,0.7206123414207024,0.8079750312166121,0.7642936863186572
8823868,2,,,0.78728250902869,0.7398114820451769,0.7635469955369334
3231341,5,,,0.961510684368651,0.5568243548241446,0.7591675195963978
11192235,1,K02329.01,CANDIDATE,0.7621107759031066,0.7560067969413764,0.7590587864222416
6593150,1,K03037.01,CANDIDATE,0.7515471451657829,0.7474614596437471,0.749504302404765
6500206,2,,,0.8395481995648003,0.6530613341423244,0.7463047668535623
6041734,2,,,0.8749728513942198,0.6176121073487651,0.7462924793714925
1571511,2,,,0.9760390989416976,0.5078259260176403,0.741932512479669
3097926,1,K02186.01,CANDIDATE,0.7341474277784694,0.7494062484791,0.7417768381287847
5980783,1,K02967.01,CANDIDATE,0.8322620688330502,0.6467383970918366,0.7395002329624434
11404644,2,,,0.8359943868113724,0.6317955521181675,0.73389496946477
7972785,2,,,0.890003422241555,0.5763933239131664,0.7331983730773608
8953257,2,,,0.5546262904012277,0.9029268255776272,0.7287765579894274
5031857,2,K01573.02,CANDIDATE,0.8464100488936991,0.5952314088669606,0.7208207288803299
9697131,1,K02706.01,CANDIDATE,0.7593354371162213,0.6727873987622388,0.7160614179392301
10005758,2,K01783.02,CANDIDATE,0.8715119746938156,0.5463700934146762,0.7089410340542459
7449554,1,K02357.01,CANDIDATE,0.8138842158066576,0.5834569458395643,0.698670580823111
11465950,1,K02620.01,CANDIDATE,0.6414894268204118,0.7516499644410083,0.69656969563071
8686150,2,,,0.5702317139336865,0.8172703483862725,0.6937510311599795
12009347,2,,,0.8507489397636728,0.5343355233842484,0.6925422315739607
5213230,1,K03474.01,CANDIDATE,0.6399212042374267,0.7384803515180604,0.6892007778777436
2440757,1,K00792.01,FALSE POSITIVE,0.6339543897366271,0.7311331419256001,0.6825437658311135
8753896,2,,,0.7335220098969347,0.6208523846555869,0.6771871972762609
8043714,2,,,0.6849887516200688,0.6669951953627862,0.6759919734914275
9714123,2,,,0.6012018557821418,0.7106129245748134,0.6559073901784775
6762829,5,,,0.7168082064682167,0.5290981724779708,0.6229531894730937
6889235,2,,,0.3984702234121992,0.8395598733518919,0.6190150483820456
5003117,2,,,0.5142556272261318,0.6853595796311545,0.5998076034286431
9886224,2,,,0.6330229005399357,0.5320455114268056,0.5825342059833707
5728283,2,,,0.4837599124356842,0.6775455972146671,0.5806527548251756
8845026,2,,,0.5002664290169314,0.6303950548768424,0.5653307419468869
10583180,2,,,0.5070844886655596,0.5557530056982438,0.5314187471819016
3757778,2,,,0.3978046893049265,0.6341790662484582,0.5159918777766923
7678434,2,K00892.02,CANDIDATE,0.5146559829560671,0.5014498099315763,0.5080528964438217
