kepid,plnt num,kname,dispos,GB_vif,RF_vif
9288786,2,-,-,1.0,0.909
3734868,2,-,-,1.0,0.99
5370302,2,-,-,1.0,0.971
10418797,2,-,-,1.0,0.922
5534941,1,K02332.01,CAND,1.0,0.929
6603756,2,-,-,1.0,-
10616571,3,-,-,1.0,0.96
10794087,1,K01316.01,CAND,1.0,0.959
9071386,2,-,-,1.0,0.843
12115188,2,-,-,1.0,0.462
10464078,2,-,-,1.0,0.871
9934208,2,-,-,1.0,0.853
6666233,2,-,-,1.0,0.846
4840513,2,-,-,1.0,0.922
12504988,2,-,-,1.0,0.969
9838975,2,-,-,1.0,0.99
4814502,1,K04004.01,CAND,1.0,0.969
8176650,2,-,-,1.0,0.971
7584650,1,K02631.01,CAND,1.0,0.96
11709124,2,-,-,1.0,0.918
8552719,2,K01792.02,FP,1.0,0.98
4862625,2,-,-,1.0,0.429
9632895,2,-,-,1.0,0.462
2581316,2,K03681.02,CAND,1.0,0.952
9995771,1,K03470.01,CAND,1.0,0.957
11126381,1,K01863.01,CAND,0.999,0.933
1571511,2,-,-,0.999,0.979
6762829,2,-,-,0.999,0.96
3323887,3,-,-,0.999,-
10091110,3,-,-,0.999,0.947
8074805,2,-,-,0.999,0.791
11030475,2,-,-,0.999,0.907
4851464,2,-,-,0.999,0.929
6428794,1,K04054.01,CAND,0.999,0.914
7037540,2,-,-,0.999,0.98
5376836,2,-,-,0.999,0.98
5270698,2,-,-,0.999,-
5786676,1,K00650.01,CAND,0.999,0.949
12009347,2,-,-,0.999,0.86
3970233,2,-,-,0.999,0.97
9446824,2,-,-,0.999,0.979
8180020,2,-,-,0.999,0.979
7972785,2,-,-,0.999,0.969
11601584,4,K01831.04,CAND,0.999,0.448
6432345,1,K02757.01,CAND,0.999,0.943
3102000,2,-,-,0.999,0.898
7975727,2,-,-,0.999,0.96
8953059,2,-,-,0.999,0.879
8892910,2,-,-,0.998,0.978
3342592,2,-,-,0.998,0.949
2718778,1,K02489.01,CAND,0.998,0.857
9474222,2,-,-,0.998,-
7605600,2,-,-,0.997,-
11968463,3,K02433.03,CAND,0.997,-
6698670,2,-,-,0.997,0.849
6756669,2,-,-,0.996,0.924
7023960,2,-,-,0.996,0.957
5095635,1,K02607.01,CAND,0.995,0.823
9528420,2,-,-,0.995,0.657
8416523,2,-,-,0.995,-
9346253,2,-,-,0.995,0.83
10287248,2,-,-,0.995,0.84
5774557,2,-,-,0.995,-
10904857,2,-,-,0.994,0.96
11408935,2,-,-,0.994,0.915
7375348,2,K00266.02,CAND,0.993,0.846
8953257,2,-,-,0.993,0.841
10005758,2,K01783.02,CAND,0.993,0.737
8460600,2,-,-,0.992,0.565
5978559,1,K02321.01,CAND,0.992,0.959
8263545,1,K02822.01,CAND,0.991,0.939
5872150,3,-,-,0.99,0.922
8561063,4,-,-,0.99,-
9886224,2,-,-,0.988,-
9649222,2,-,-,0.988,0.915
6707942,2,-,-,0.987,-
3097926,1,K02186.01,CAND,0.985,0.959
9705459,2,-,-,0.985,0.839
8651389,1,K01754.01,CAND,0.984,0.948
2449431,1,K02009.01,CAND,0.984,0.931
10923260,2,-,-,0.979,0.556
8458207,2,-,-,0.979,-
8236479,1,-,-,0.978,-
3112129,2,-,-,0.977,0.8
5372966,2,-,-,0.977,0.99
9836959,1,K01715.01,CAND,0.977,0.938
3558981,2,-,-,0.976,-
4049124,2,-,-,0.976,-
9411166,2,-,-,0.974,0.979
5775129,1,K02802.01,CAND,0.972,0.947
9714123,2,-,-,0.966,0.429
11404644,2,-,-,0.962,-
10843431,1,K07378.01,CAND,0.961,-
9098590,2,-,-,0.959,-
11189127,2,-,-,0.948,0.864
5608566,2,-,-,0.947,-
6500206,2,-,-,0.939,-
8686150,2,-,-,0.935,0.643
3757778,2,-,-,0.933,-
2444412,1,K00103.01,CAND,0.924,-
10332789,2,-,-,0.923,-
7449554,1,K02357.01,CAND,0.92,0.863
5042210,1,K02462.01,CAND,0.92,0.918
6041734,2,-,-,0.919,0.87
5780885,2,-,-,0.912,0.4
12644769,3,-,-,0.911,-
4242147,1,K01934.01,CAND,0.909,0.929
6451605,1,-,-,0.906,-
8605074,2,-,-,0.902,-
3231341,5,-,-,0.894,0.877
6762829,5,-,-,0.893,0.5
7362696,2,-,-,0.888,0.895
7450747,1,K04267.01,CAND,0.883,-
11246161,2,-,-,0.878,0.5
8415004,4,-,-,0.876,-
6805146,2,-,-,0.869,0.79
5980783,1,K02967.01,CAND,0.854,0.968
8580438,2,-,-,0.846,-
10186945,2,-,-,0.837,0.823
8823868,2,-,-,0.835,0.406
11465950,1,K02620.01,CAND,0.834,0.959
5551672,1,K03119.01,CAND,0.829,-
6677841,3,-,-,0.829,0.571
6504534,3,-,-,0.824,-
5446285,2,-,-,0.823,-
3323887,4,-,-,0.817,-
3323887,2,-,-,0.805,-
6750902,2,-,-,0.798,-
1026957,1,K00958.01,CAND,0.788,0.866
12170648,2,-,-,0.783,0.429
6185476,3,-,-,0.781,-
6614926,2,-,-,0.778,-
7270230,2,-,-,0.773,-
5356593,2,-,-,0.77,0.948
2574338,1,K01030.01,CAND,0.765,0.949
7269881,2,-,-,0.757,-
6185476,2,-,-,0.757,-
5035972,2,-,-,0.75,0.903
12010534,2,-,-,0.749,-
5213230,1,K03474.01,CAND,0.748,0.933
4650733,1,K01659.01,CAND,0.747,0.913
8655354,2,-,-,0.736,0.5
7119481,3,K00566.03,CAND,0.736,-
10073672,1,K02764.01,CAND,0.732,-
5728283,2,-,-,0.726,-
5124667,1,K01822.01,CAND,0.722,0.82
10016874,1,K00426.01,CAND,0.717,0.96
10710755,2,-,-,0.716,0.389
9719636,2,-,-,0.715,-
5114623,8,-,-,0.708,-
5446285,3,-,-,0.7,-
4069213,2,-,-,0.687,-
6060277,2,-,-,0.683,-
4665571,2,K02393.02,CAND,0.681,0.821
9697131,1,K02706.01,CAND,0.679,0.736
10419211,2,-,-,0.678,-
4912650,1,K05098.01,CAND,0.66,-
5773121,1,K04002.01,CAND,0.658,0.86
4932348,2,-,-,0.655,-
9413313,1,-,-,0.637,-
6149910,1,K02469.01,CAND,0.613,-
3634755,2,-,-,0.606,-
5810113,2,-,-,0.596,-
3218908,4,-,-,0.585,0.514
11285136,2,-,-,0.584,-
3547091,2,-,-,0.575,-
10657664,2,-,-,0.561,-
8329629,2,-,-,0.559,-
8753896,2,-,-,0.555,-
7363829,1,-,-,0.553,-
9202151,1,K01393.01,CAND,0.55,-
8292150,2,-,-,0.537,-
10527135,2,-,-,0.536,-
10152836,2,-,-,0.535,-
2720354,2,-,-,0.533,-
5966810,1,K03909.01,CAND,0.528,0.87
3834322,2,-,-,0.525,0.375
6462874,2,K01231.02,FP,0.522,-
5092266,1,K03045.01,CAND,0.521,0.98
3097352,2,-,-,0.513,-
12017140,2,-,-,0.512,-
6593150,1,K03037.01,CAND,0.51,-
6606934,2,-,-,0.508,-
11391018,2,-,-,0.5,-
9791509,3,-,-,0.474,-
11252617,2,K06236.02,FP,0.466,-
3342467,2,-,-,0.458,-
5816165,1,K01043.01,FP,0.436,0.471
6209347,5,-,-,0.414,-
9149789,2,-,-,0.393,-
5031857,2,K01573.02,CAND,-,0.967
8043714,2,-,-,-,0.929
11192235,1,K02329.01,CAND,-,0.888
7186665,2,-,-,-,0.75
5979863,2,-,-,-,0.667
3831053,1,K00388.01,CAND,-,0.642
12164634,3,-,-,-,0.556
5003117,2,-,-,-,0.556
10485250,2,-,-,-,0.538
4773392,1,K04367.01,CAND,-,0.538
5709725,2,K00555.02,CAND,-,0.516
10337517,1,K01165.01,CAND,-,0.516
6762829,4,-,-,-,0.514
5965819,1,K03319.01,CAND,-,0.508
5020319,1,K00635.01,CAND,-,0.508
9150827,1,K01408.01,CAND,-,0.505
6803202,1,K00177.01,CAND,-,0.503
8480285,1,K00691.01,CAND,-,0.503
7186665,1,K03033.01,FP,-,0.5
5014753,2,-,-,-,0.5
2438502,2,-,-,-,0.481
4939265,3,-,-,-,0.462
10514770,2,-,-,-,0.458
3851949,2,-,-,-,0.458
9552608,2,-,-,-,0.458
8162789,1,K00521.01,CAND,-,0.457
8242681,2,-,-,-,0.455
5357470,2,-,-,-,0.455
3962728,2,-,-,-,0.452
7051984,2,-,-,-,0.452
8695779,2,-,-,-,0.444
6866228,2,-,-,-,0.444
3862246,2,-,-,-,0.429
9457728,1,K04637.01,CAND,-,0.429
5982353,2,-,-,-,0.429
8038679,1,-,-,-,0.424
4912991,2,-,-,-,0.423
6609270,2,K03090.02,FP,-,0.409
9710998,1,-,-,-,0.406
12302530,3,-,-,-,0.404
7299905,1,-,-,-,0.4
8681125,1,-,-,-,0.393
9491205,3,-,-,-,0.385
10514430,3,-,-,-,0.385
6785967,1,-,-,-,0.379
10068030,2,-,-,-,0.375
11249624,3,-,-,-,0.375
10024862,2,-,-,-,0.375
2452440,2,-,-,-,0.366
2163457,1,-,-,-,0.36
12207117,2,-,-,-,0.359
9451127,2,-,-,-,0.353
5990753,2,-,-,-,0.35
