kepid,plnt,kepoi,koi,RF,plnt num,kname,dispos,GB,LR,_merge
2444412,1,K00103.01,CAN,1.0,-,-,-,-,-,left_only
7023960,2,-,-,1.0,-,-,-,-,-,left_only
7037540,2,-,-,1.0,2.0,-,-,0.9620000000000001,0.956,both
3342592,2,-,-,1.0,-,-,-,-,-,left_only
6762829,2,-,-,1.0,-,-,-,-,-,left_only
6805146,2,-,-,1.0,-,-,-,-,-,left_only
3734868,2,-,-,1.0,-,-,-,-,-,left_only
7584650,1,K02631.01,CAN,1.0,-,-,-,-,-,left_only
5092266,1,K03045.01,CAN,1.0,-,-,-,-,-,left_only
5095635,1,K02607.01,CAN,1.0,-,-,-,-,-,left_only
3097926,1,K02186.01,CAN,1.0,-,-,-,-,-,left_only
10016874,1,K00426.01,CAN,1.0,-,-,-,-,-,left_only
12504988,2,-,-,1.0,2.0,-,-,0.9540000000000001,0.905,both
6131236,1,K01051.01,CAN,1.0,-,-,-,-,-,left_only
10616571,3,-,-,1.0,3.0,-,-,0.982,0.731,both
5031857,2,K01573.02,CAN,1.0,-,-,-,-,-,left_only
4650733,1,K01659.01,CAN,1.0,-,-,-,-,-,left_only
9836959,1,K01715.01,CAN,1.0,-,-,-,-,-,left_only
8552719,2,K01792.02,FP,1.0,2.0,K01792.02,FP,0.9690000000000001,0.9490000000000001,both
11126381,1,K01863.01,CAN,1.0,-,-,-,-,-,left_only
9838975,2,-,-,1.0,2.0,-,-,0.9620000000000001,0.927,both
4242147,1,K01934.01,CAN,1.0,-,-,-,-,-,left_only
10418797,2,-,-,1.0,-,-,-,-,-,left_only
4851464,2,-,-,1.0,-,-,-,-,-,left_only
9446824,2,-,-,1.0,2.0,-,-,0.953,0.9079999999999999,both
5978559,1,K02321.01,CAN,1.0,-,-,-,-,-,left_only
8180020,2,-,-,1.0,2.0,-,-,0.971,0.927,both
6866228,2,-,-,1.0,-,-,-,-,-,left_only
5534941,1,K02332.01,CAN,1.0,-,-,-,-,-,left_only
5872150,3,-,-,1.0,3.0,-,-,0.96,0.764,both
8263545,1,K02822.01,CAN,1.0,-,-,-,-,-,left_only
5982353,2,-,-,1.0,-,-,-,-,-,left_only
8242681,2,-,-,1.0,-,-,-,-,-,left_only
8043714,2,-,-,1.0,-,-,-,-,-,left_only
8655354,2,-,-,1.0,-,-,-,-,-,left_only
8605074,2,-,-,1.0,-,-,-,-,-,left_only
8892910,2,-,-,1.0,-,-,-,-,-,left_only
8845026,2,-,-,1.0,-,-,-,-,-,left_only
6428794,1,K04054.01,CAN,1.0,-,-,-,-,-,left_only
4814502,1,K04004.01,CAN,1.0,-,-,-,-,-,left_only
9346253,2,-,-,1.0,-,-,-,-,-,left_only
5213230,1,K03474.01,CAN,1.0,-,-,-,-,-,left_only
5980783,1,K02967.01,CAN,1.0,-,-,-,-,-,left_only
2581316,2,K03681.02,CAN,1.0,2.0,K03681.02,CAND,0.975,0.9420000000000001,both
6432345,1,K02757.01,CAN,1.0,-,-,-,-,-,left_only
3970233,2,-,-,1.0,2.0,-,-,0.9640000000000001,0.935,both
8176650,2,-,-,1.0,2.0,-,-,0.9740000000000001,0.905,both
7975727,2,-,-,1.0,2.0,-,-,0.9790000000000001,0.804,both
11465950,1,K02620.01,CAN,1.0,-,-,-,-,-,left_only
3862246,2,-,-,1.0,-,-,-,-,-,left_only
5376836,2,-,-,1.0,-,-,-,-,-,left_only
5003117,2,-,-,1.0,-,-,-,-,-,left_only
5372966,2,-,-,1.0,-,-,-,-,-,left_only
9697131,1,K02706.01,CAN,1.0,-,-,-,-,-,left_only
5370302,2,-,-,1.0,2.0,-,-,0.976,0.866,both
5979863,2,-,-,1.0,-,-,-,-,-,left_only
3231341,5,-,-,0.99,-,-,-,-,-,left_only
5356593,2,-,-,0.99,-,-,-,-,-,left_only
1571511,2,-,-,0.99,-,-,-,-,-,left_only
10485250,2,-,-,0.99,-,-,-,-,-,left_only
10091110,3,-,-,0.99,-,-,-,-,-,left_only
11709124,2,-,-,0.99,2.0,-,-,0.988,0.867,both
9995771,1,K03470.01,CAN,0.99,-,-,-,-,-,left_only
2449431,1,K02009.01,CAN,0.99,-,-,-,-,-,left_only
8651389,1,K01754.01,CAN,0.99,-,-,-,-,-,left_only
6666233,2,-,-,0.99,-,-,-,-,-,left_only
5775129,1,K02802.01,CAN,0.99,-,-,-,-,-,left_only
10794087,1,K01316.01,CAN,0.99,1.0,K01316.01,CAND,0.977,0.914,both
11408935,2,-,-,0.99,-,-,-,-,-,left_only
7375348,2,K00266.02,CAN,0.99,-,-,-,-,-,left_only
9411166,2,-,-,0.99,2.0,-,-,0.973,0.9209999999999999,both
2574338,1,K01030.01,CAN,0.99,-,-,-,-,-,left_only
10904857,2,-,-,0.99,-,-,-,-,-,left_only
6698670,2,-,-,0.99,-,-,-,-,-,left_only
5042210,1,K02462.01,CAN,0.99,-,-,-,-,-,left_only
2718778,1,K02489.01,CAN,0.9890000000000001,-,-,-,-,-,left_only
8686150,2,-,-,0.9890000000000001,-,-,-,-,-,left_only
4665571,2,K02393.02,CAN,0.98,-,-,-,-,-,left_only
9649222,2,-,-,0.98,-,-,-,-,-,left_only
7972785,2,-,-,0.98,-,-,-,-,-,left_only
5786676,1,K00650.01,CAN,0.98,-,-,-,-,-,left_only
9288786,2,-,-,0.98,2.0,-,-,0.975,0.8190000000000001,both
3831053,1,K00388.01,CAN,0.98,-,-,-,-,-,left_only
5035972,2,-,-,0.98,2.0,-,-,0.95,0.866,both
4840513,2,-,-,0.98,2.0,-,-,0.975,0.512,both
6041734,2,-,-,0.9790000000000001,-,-,-,-,-,left_only
11189127,2,-,-,0.978,-,-,-,-,-,left_only
7449554,1,K02357.01,CAN,0.978,-,-,-,-,-,left_only
8953059,2,-,-,0.971,-,-,-,-,-,left_only
9071386,2,-,-,0.971,2.0,-,-,0.97,0.956,both
8953257,2,-,-,0.971,-,-,-,-,-,left_only
3102000,2,-,-,0.97,-,-,-,-,-,left_only
6603756,2,-,-,0.97,-,-,-,-,-,left_only
12115188,2,-,-,0.97,2.0,-,-,0.97,0.633,both
11601584,4,K01831.04,CAN,0.963,-,-,-,-,-,left_only
8823868,2,-,-,0.961,-,-,-,-,-,left_only
3323887,3,-,-,0.9590000000000001,-,-,-,-,-,left_only
3323887,2,-,-,0.958,-,-,-,-,-,left_only
5966810,1,K03909.01,CAN,0.958,-,-,-,-,-,left_only
5450814,2,-,-,0.9570000000000001,-,-,-,-,-,left_only
7362696,2,-,-,0.9520000000000001,-,-,-,-,-,left_only
10186945,2,-,-,0.951,-,-,-,-,-,left_only
11030475,2,-,-,0.951,-,-,-,-,-,left_only
