kepid,plnt num,kname,dispos,RF,GB
2444412,1,K00103.01,CAND,1.0,0.675
7023960,2,-,-,1.0,0.876
7037540,2,-,-,1.0,0.962
6762829,2,-,-,1.0,0.943
6805146,2,-,-,1.0,0.739
3734868,2,-,-,1.0,0.931
7584650,1,K02631.01,CAND,1.0,0.932
5092266,1,K03045.01,CAND,1.0,0.658
5095635,1,K02607.01,CAND,1.0,0.772
3097926,1,K02186.01,CAND,1.0,0.738
10016874,1,K00426.01,CAND,1.0,0.863
12504988,2,-,-,1.0,0.954
6131236,1,K01051.01,CAND,1.0,-
10616571,3,-,-,1.0,0.982
5031857,2,K01573.02,CAND,1.0,0.721
4650733,1,K01659.01,CAND,1.0,0.633
9836959,1,K01715.01,CAND,1.0,0.703
8552719,2,K01792.02,FP,1.0,0.969
11126381,1,K01863.01,CAND,1.0,0.876
9838975,2,-,-,1.0,0.962
4242147,1,K01934.01,CAND,1.0,0.826
10418797,2,-,-,1.0,0.669
4851464,2,-,-,1.0,0.863
9446824,2,-,-,1.0,0.953
5978559,1,K02321.01,CAND,1.0,0.912
5534941,1,K02332.01,CAND,1.0,0.893
8180020,2,-,-,1.0,0.971
6866228,2,-,-,1.0,0.421
3342592,2,-,-,1.0,0.899
5872150,3,-,-,1.0,0.96
8263545,1,K02822.01,CAND,1.0,0.636
8242681,2,-,-,1.0,-
8043714,2,-,-,1.0,-
8655354,2,-,-,1.0,-
8605074,2,-,-,1.0,-
8892910,2,-,-,1.0,0.874
8845026,2,-,-,1.0,-
6428794,1,K04054.01,CAND,1.0,0.912
4814502,1,K04004.01,CAND,1.0,0.906
9346253,2,-,-,1.0,0.865
5982353,2,-,-,1.0,-
5213230,1,K03474.01,CAND,1.0,0.577
5980783,1,K02967.01,CAND,1.0,0.748
2581316,2,K03681.02,CAND,1.0,0.975
6432345,1,K02757.01,CAND,1.0,0.893
5003117,2,-,-,1.0,-
3970233,2,-,-,1.0,0.964
9697131,1,K02706.01,CAND,1.0,0.923
5370302,2,-,-,1.0,0.976
5372966,2,-,-,1.0,0.924
5979863,2,-,-,1.0,-
5376836,2,-,-,1.0,0.949
3862246,2,-,-,1.0,-
11465950,1,K02620.01,CAND,1.0,0.76
7975727,2,-,-,1.0,0.979
8176650,2,-,-,1.0,0.974
8651389,1,K01754.01,CAND,0.99,0.555
10485250,2,-,-,0.99,0.79
9995771,1,K03470.01,CAND,0.99,0.903
11709124,2,-,-,0.99,0.988
10091110,3,-,-,0.99,0.865
6666233,2,-,-,0.99,0.922
1571511,2,-,-,0.99,0.94
5356593,2,-,-,0.99,0.631
3231341,5,-,-,0.99,0.667
11408935,2,-,-,0.99,0.796
2449431,1,K02009.01,CAND,0.99,0.773
2574338,1,K01030.01,CAND,0.99,0.608
5042210,1,K02462.01,CAND,0.99,-
6698670,2,-,-,0.99,0.92
10904857,2,-,-,0.99,0.949
10794087,1,K01316.01,CAND,0.99,0.977
9411166,2,-,-,0.99,0.973
7375348,2,K00266.02,CAND,0.99,0.745
5775129,1,K02802.01,CAND,0.99,0.881
2718778,1,K02489.01,CAND,0.989,0.797
8686150,2,-,-,0.989,0.881
5786676,1,K00650.01,CAND,0.98,0.922
4665571,2,K02393.02,CAND,0.98,0.516
9649222,2,-,-,0.98,0.837
7972785,2,-,-,0.98,0.863
4840513,2,-,-,0.98,0.975
9288786,2,-,-,0.98,0.975
3831053,1,K00388.01,CAND,0.98,0.527
5035972,2,-,-,0.98,0.95
6041734,2,-,-,0.979,0.852
11189127,2,-,-,0.978,0.839
7449554,1,K02357.01,CAND,0.978,0.753
9071386,2,-,-,0.971,0.97
8953059,2,-,-,0.971,0.903
8953257,2,-,-,0.971,0.781
3102000,2,-,-,0.97,0.808
6603756,2,-,-,0.97,0.683
12115188,2,-,-,0.97,0.97
11601584,4,K01831.04,CAND,0.963,0.821
8823868,2,-,-,0.961,0.79
3323887,3,-,-,0.959,0.923
5966810,1,K03909.01,CAND,0.958,0.74
3323887,2,-,-,0.958,0.905
5450814,2,-,-,0.957,-
7362696,2,-,-,0.952,0.821
11030475,2,-,-,0.951,0.783
10186945,2,-,-,0.951,0.783
