kepid,plnt num,kname,dispos,RF,LR
2444412,1,K00103.01,CAND,1.0,0.565
7023960,2,-,-,1.0,0.798
7037540,2,-,-,1.0,0.956
6762829,2,-,-,1.0,0.892
6805146,2,-,-,1.0,0.651
3734868,2,-,-,1.0,0.778
7584650,1,K02631.01,CAND,1.0,0.805
5092266,1,K03045.01,CAND,1.0,0.535
5095635,1,K02607.01,CAND,1.0,0.483
3097926,1,K02186.01,CAND,1.0,0.837
10016874,1,K00426.01,CAND,1.0,0.85
12504988,2,-,-,1.0,0.905
6131236,1,K01051.01,CAND,1.0,-
10616571,3,-,-,1.0,0.731
5031857,2,K01573.02,CAND,1.0,0.879
4650733,1,K01659.01,CAND,1.0,0.655
9836959,1,K01715.01,CAND,1.0,0.69
8552719,2,K01792.02,FP,1.0,0.949
11126381,1,K01863.01,CAND,1.0,0.776
9838975,2,-,-,1.0,0.927
4242147,1,K01934.01,CAND,1.0,0.761
10418797,2,-,-,1.0,0.677
4851464,2,-,-,1.0,0.883
9446824,2,-,-,1.0,0.908
5978559,1,K02321.01,CAND,1.0,0.693
5534941,1,K02332.01,CAND,1.0,0.83
8180020,2,-,-,1.0,0.927
6866228,2,-,-,1.0,-
3342592,2,-,-,1.0,0.904
5872150,3,-,-,1.0,0.764
8263545,1,K02822.01,CAND,1.0,0.819
8242681,2,-,-,1.0,0.461
8043714,2,-,-,1.0,0.803
8655354,2,-,-,1.0,0.691
8605074,2,-,-,1.0,-
8892910,2,-,-,1.0,0.809
8845026,2,-,-,1.0,-
6428794,1,K04054.01,CAND,1.0,0.607
4814502,1,K04004.01,CAND,1.0,0.653
9346253,2,-,-,1.0,0.653
5982353,2,-,-,1.0,-
5213230,1,K03474.01,CAND,1.0,0.59
5980783,1,K02967.01,CAND,1.0,0.663
2581316,2,K03681.02,CAND,1.0,0.942
6432345,1,K02757.01,CAND,1.0,0.486
5003117,2,-,-,1.0,-
3970233,2,-,-,1.0,0.935
9697131,1,K02706.01,CAND,1.0,0.803
5370302,2,-,-,1.0,0.866
5372966,2,-,-,1.0,0.485
5979863,2,-,-,1.0,-
5376836,2,-,-,1.0,0.819
3862246,2,-,-,1.0,0.455
11465950,1,K02620.01,CAND,1.0,-
7975727,2,-,-,1.0,0.804
8176650,2,-,-,1.0,0.905
8651389,1,K01754.01,CAND,0.99,0.536
10485250,2,-,-,0.99,0.814
9995771,1,K03470.01,CAND,0.99,0.636
11709124,2,-,-,0.99,0.867
10091110,3,-,-,0.99,0.778
6666233,2,-,-,0.99,0.727
1571511,2,-,-,0.99,0.614
5356593,2,-,-,0.99,0.775
3231341,5,-,-,0.99,0.564
11408935,2,-,-,0.99,0.843
2449431,1,K02009.01,CAND,0.99,0.861
2574338,1,K01030.01,CAND,0.99,-
5042210,1,K02462.01,CAND,0.99,0.803
6698670,2,-,-,0.99,0.826
10904857,2,-,-,0.99,0.845
10794087,1,K01316.01,CAND,0.99,0.914
9411166,2,-,-,0.99,0.921
7375348,2,K00266.02,CAND,0.99,0.579
5775129,1,K02802.01,CAND,0.99,0.551
2718778,1,K02489.01,CAND,0.989,0.596
8686150,2,-,-,0.989,0.805
5786676,1,K00650.01,CAND,0.98,0.858
4665571,2,K02393.02,CAND,0.98,-
9649222,2,-,-,0.98,0.81
7972785,2,-,-,0.98,-
4840513,2,-,-,0.98,0.512
9288786,2,-,-,0.98,0.819
3831053,1,K00388.01,CAND,0.98,0.944
5035972,2,-,-,0.98,0.866
6041734,2,-,-,0.979,-
11189127,2,-,-,0.978,0.625
7449554,1,K02357.01,CAND,0.978,0.723
9071386,2,-,-,0.971,0.956
8953059,2,-,-,0.971,-
8953257,2,-,-,0.971,-
3102000,2,-,-,0.97,0.822
6603756,2,-,-,0.97,-
12115188,2,-,-,0.97,0.633
11601584,4,K01831.04,CAND,0.963,0.529
8823868,2,-,-,0.961,0.595
3323887,3,-,-,0.959,0.598
5966810,1,K03909.01,CAND,0.958,0.631
3323887,2,-,-,0.958,0.677
5450814,2,-,-,0.957,-
7362696,2,-,-,0.952,0.685
11030475,2,-,-,0.951,0.816
10186945,2,-,-,0.951,0.612
