kepid,tce_plnt_num,kepoi_name,koi_disposition,RF
2444412,1,K00103.01,CANDIDATE,1.0
8180020,2,,,1.0
8242681,2,,,1.0
8043714,2,,,1.0
8655354,2,,,1.0
8605074,2,,,1.0
8892910,2,,,1.0
8845026,2,,,1.0
6428794,1,K04054.01,CANDIDATE,1.0
4814502,1,K04004.01,CANDIDATE,1.0
9346253,2,,,1.0
2581316,2,K03681.02,CANDIDATE,1.0
5213230,1,K03474.01,CANDIDATE,1.0
5980783,1,K02967.01,CANDIDATE,1.0
8263545,1,K02822.01,CANDIDATE,1.0
6432345,1,K02757.01,CANDIDATE,1.0
9697131,1,K02706.01,CANDIDATE,1.0
8176650,2,,,1.0
7975727,2,,,1.0
11465950,1,K02620.01,CANDIDATE,1.0
3862246,2,,,1.0
5376836,2,,,1.0
5003117,2,,,1.0
5372966,2,,,1.0
5370302,2,,,1.0
5979863,2,,,1.0
3970233,2,,,1.0
5982353,2,,,1.0
5872150,3,,,1.0
7023960,2,,,1.0
6866228,2,,,1.0
7037540,2,,,1.0
3342592,2,,,1.0
6762829,2,,,1.0
6805146,2,,,1.0
3734868,2,,,1.0
7584650,1,K02631.01,CANDIDATE,1.0
5092266,1,K03045.01,CANDIDATE,1.0
5095635,1,K02607.01,CANDIDATE,1.0
3097926,1,K02186.01,CANDIDATE,1.0
10016874,1,K00426.01,CANDIDATE,1.0
12504988,2,,,1.0
6131236,1,K01051.01,CANDIDATE,1.0
10616571,3,,,1.0
5031857,2,K01573.02,CANDIDATE,1.0
4650733,1,K01659.01,CANDIDATE,1.0
9836959,1,K01715.01,CANDIDATE,1.0
8552719,2,K01792.02,FALSE POSITIVE,1.0
11126381,1,K01863.01,CANDIDATE,1.0
9838975,2,,,1.0
4242147,1,K01934.01,CANDIDATE,1.0
10418797,2,,,1.0
4851464,2,,,1.0
9446824,2,,,1.0
5978559,1,K02321.01,CANDIDATE,1.0
5534941,1,K02332.01,CANDIDATE,1.0
11408935,2,,,0.99
7375348,2,K00266.02,CANDIDATE,0.99
9411166,2,,,0.99
10794087,1,K01316.01,CANDIDATE,0.99
10904857,2,,,0.99
6698670,2,,,0.99
5042210,1,K02462.01,CANDIDATE,0.99
2574338,1,K01030.01,CANDIDATE,0.99
5775129,1,K02802.01,CANDIDATE,0.99
2449431,1,K02009.01,CANDIDATE,0.99
8651389,1,K01754.01,CANDIDATE,0.99
3231341,5,,,0.99
5356593,2,,,0.99
1571511,2,,,0.99
6666233,2,,,0.99
10091110,3,,,0.99
11709124,2,,,0.99
9995771,1,K03470.01,CANDIDATE,0.99
10485250,2,,,0.99
2718778,1,K02489.01,CANDIDATE,0.989
8686150,2,,,0.989
4840513,2,,,0.98
5035972,2,,,0.98
3831053,1,K00388.01,CANDIDATE,0.98
9288786,2,,,0.98
5786676,1,K00650.01,CANDIDATE,0.98
7972785,2,,,0.98
9649222,2,,,0.98
4665571,2,K02393.02,CANDIDATE,0.98
6041734,2,,,0.979
11189127,2,,,0.978
7449554,1,K02357.01,CANDIDATE,0.978
8953257,2,,,0.971
8953059,2,,,0.971
9071386,2,,,0.971
12115188,2,,,0.97
3102000,2,,,0.97
6603756,2,,,0.97
11601584,4,K01831.04,CANDIDATE,0.963
8823868,2,,,0.961
3323887,3,,,0.959
5966810,1,K03909.01,CANDIDATE,0.958
3323887,2,,,0.958
5450814,2,,,0.957
7362696,2,,,0.952
10186945,2,,,0.951
11030475,2,,,0.951
1026957,1,K00958.01,CANDIDATE,0.942
9528420,2,,,0.941
8951205,1,K04099.01,CANDIDATE,0.939
5270698,2,,,0.931
6762829,4,,,0.923
2440757,1,K00792.01,FALSE POSITIVE,0.92
12302530,3,,,0.913
3834322,2,,,0.911
10923260,2,,,0.909
11968463,3,K02433.03,CANDIDATE,0.909
4077526,4,K01336.04,CANDIDATE,0.892
9886224,2,,,0.88
8307759,1,,,0.875
8074805,2,,,0.864
6387450,2,,,0.833
6200709,2,,,0.833
12170648,2,,,0.8
9934208,2,,,0.8
5728283,2,,,0.8
2438502,2,,,0.8
7186665,2,,,0.8
8458207,2,,,0.793
10005758,2,K01783.02,CANDIDATE,0.789
5816165,1,K01043.01,FALSE POSITIVE,0.786
2163457,1,,,0.778
10287248,2,,,0.75
9632895,2,,,0.75
9016295,2,,,0.75
8800954,1,,,0.75
7605600,2,,,0.75
6606934,2,,,0.75
3112129,2,,,0.733
7954278,2,,,0.692
6889235,2,,,0.692
5700330,2,,,0.667
6707942,2,,,0.667
3003991,2,,,0.667
2832589,1,K01942.01,CANDIDATE,0.667
10419211,2,,,0.667
5735878,2,,,0.667
9451127,2,,,0.667
4932348,2,,,0.667
6847018,2,,,0.667
9474222,2,,,0.667
3547091,2,,,0.667
6185476,1,,,0.667
8460600,2,,,0.667
7450443,1,,,0.667
5014753,2,,,0.667
12454613,1,,,0.667
11246161,2,,,0.667
11404644,2,,,0.636
9602514,2,,,0.625
6878408,1,K06786.01,CANDIDATE,0.625
9457728,1,K04637.01,CANDIDATE,0.625
10332789,3,,,0.6
4069213,2,,,0.6
12009347,2,,,0.6
11656302,2,,,0.6
9150827,1,K01408.01,CANDIDATE,0.578
3130548,2,,,0.571
9411471,1,,,0.571
6614926,2,,,0.563
5773121,1,K04002.01,CANDIDATE,0.556
3962872,2,,,0.556
6848481,1,,,0.556
2708203,2,,,0.556
11192235,1,K02329.01,CANDIDATE,0.545
10068002,1,,,0.545
9705459,2,,,0.539
12644769,3,,,0.533
3218908,4,,,0.526
10337517,1,K01165.01,CANDIDATE,0.503
5357470,2,,,0.5
10534447,1,,,0.5
10657664,2,,,0.5
5124667,1,K01822.01,CANDIDATE,0.5
10583180,2,,,0.5
10091792,2,,,0.5
10815050,1,,,0.5
12207117,2,,,0.5
11141029,2,,,0.5
5020319,1,K00635.01,CANDIDATE,0.5
11495305,2,,,0.5
5781704,1,,,0.5
7299905,1,,,0.5
3340313,2,,,0.5
6504534,3,,,0.5
6428850,3,,,0.5
9714123,2,,,0.5
4547480,2,,,0.5
7281668,2,,,0.5
7270230,2,,,0.5
5983348,2,,,0.5
4649440,2,,,0.5
7880676,7,,,0.5
8581232,2,,,0.5
4043443,2,,,0.5
4862625,2,,,0.5
8831573,1,,,0.5
4929299,2,,,0.5
9491205,3,,,0.5
5770074,1,K01928.01,CANDIDATE,0.5
5897645,3,,,0.462
10068030,2,,,0.462
2302624,1,,,0.462
5560731,2,,,0.462
6187341,2,,,0.455
4847602,1,,,0.455
10710755,2,,,0.444
5897826,3,,,0.429
6758917,2,,,0.429
7450747,1,K04267.01,CANDIDATE,0.429
8191611,2,,,0.417
4937435,2,,,0.417
10357831,2,,,0.417
7051984,2,,,0.4
4661660,4,,,0.385
11044372,2,,,0.385
8630254,4,,,0.381
9725543,2,,,0.375
3123138,2,,,0.364
3757590,3,,,0.364
