kepid,tce_plnt_num,kepoi_name,koi_disposition,RF_vif
9838975,2,,,0.99
3734868,2,,,0.99
5372966,2,,,0.99
8552719,2,K01792.02,FALSE POSITIVE,0.98
5092266,1,K03045.01,CANDIDATE,0.98
5376836,2,,,0.98
7037540,2,,,0.98
8180020,2,,,0.979
9446824,2,,,0.979
1571511,2,,,0.979
9411166,2,,,0.979
8892910,2,,,0.978
8176650,2,,,0.971
5370302,2,,,0.971
3970233,2,,,0.97
4814502,1,K04004.01,CANDIDATE,0.969
12504988,2,,,0.969
7972785,2,,,0.969
5980783,1,K02967.01,CANDIDATE,0.968
5031857,2,K01573.02,CANDIDATE,0.967
7584650,1,K02631.01,CANDIDATE,0.96
10616571,3,,,0.96
7975727,2,,,0.96
6762829,2,,,0.96
10904857,2,,,0.96
10016874,1,K00426.01,CANDIDATE,0.96
11465950,1,K02620.01,CANDIDATE,0.959
5978559,1,K02321.01,CANDIDATE,0.959
10794087,1,K01316.01,CANDIDATE,0.959
3097926,1,K02186.01,CANDIDATE,0.959
7023960,2,,,0.957
9995771,1,K03470.01,CANDIDATE,0.957
2581316,2,K03681.02,CANDIDATE,0.952
3342592,2,,,0.949
5786676,1,K00650.01,CANDIDATE,0.949
2574338,1,K01030.01,CANDIDATE,0.949
8651389,1,K01754.01,CANDIDATE,0.948
5356593,2,,,0.948
5775129,1,K02802.01,CANDIDATE,0.947
10091110,3,,,0.947
6432345,1,K02757.01,CANDIDATE,0.943
8263545,1,K02822.01,CANDIDATE,0.939
9836959,1,K01715.01,CANDIDATE,0.938
11126381,1,K01863.01,CANDIDATE,0.933
5213230,1,K03474.01,CANDIDATE,0.933
2449431,1,K02009.01,CANDIDATE,0.931
4242147,1,K01934.01,CANDIDATE,0.929
4851464,2,,,0.929
8043714,2,,,0.929
5534941,1,K02332.01,CANDIDATE,0.929
6756669,2,,,0.924
4840513,2,,,0.922
10418797,2,,,0.922
5872150,3,,,0.922
5042210,1,K02462.01,CANDIDATE,0.918
11709124,2,,,0.918
11408935,2,,,0.915
9649222,2,,,0.915
6428794,1,K04054.01,CANDIDATE,0.914
4650733,1,K01659.01,CANDIDATE,0.913
9288786,2,,,0.909
11030475,2,,,0.907
5035972,2,,,0.903
3102000,2,,,0.898
7362696,2,,,0.895
11192235,1,K02329.01,CANDIDATE,0.888
8953059,2,,,0.879
3231341,5,,,0.877
10464078,2,,,0.871
5966810,1,K03909.01,CANDIDATE,0.87
6041734,2,,,0.87
1026957,1,K00958.01,CANDIDATE,0.866
11189127,2,,,0.864
7449554,1,K02357.01,CANDIDATE,0.863
5773121,1,K04002.01,CANDIDATE,0.86
12009347,2,,,0.86
2718778,1,K02489.01,CANDIDATE,0.857
9934208,2,,,0.853
6698670,2,,,0.849
6666233,2,,,0.846
7375348,2,K00266.02,CANDIDATE,0.846
9071386,2,,,0.843
8953257,2,,,0.841
10287248,2,,,0.84
9705459,2,,,0.839
9346253,2,,,0.83
5095635,1,K02607.01,CANDIDATE,0.823
10186945,2,,,0.823
4665571,2,K02393.02,CANDIDATE,0.821
5124667,1,K01822.01,CANDIDATE,0.82
3112129,2,,,0.8
8074805,2,,,0.791
6805146,2,,,0.79
7186665,2,,,0.75
10005758,2,K01783.02,CANDIDATE,0.737
9697131,1,K02706.01,CANDIDATE,0.736
5979863,2,,,0.667
9528420,2,,,0.657
8686150,2,,,0.643
3831053,1,K00388.01,CANDIDATE,0.642
6677841,3,,,0.571
8460600,2,,,0.565
12164634,3,,,0.556
5003117,2,,,0.556
10923260,2,,,0.556
10485250,2,,,0.538
4773392,1,K04367.01,CANDIDATE,0.538
5709725,2,K00555.02,CANDIDATE,0.516
10337517,1,K01165.01,CANDIDATE,0.516
6762829,4,,,0.514
3218908,4,,,0.514
5965819,1,K03319.01,CANDIDATE,0.508
5020319,1,K00635.01,CANDIDATE,0.508
9150827,1,K01408.01,CANDIDATE,0.505
6803202,1,K00177.01,CANDIDATE,0.503
8480285,1,K00691.01,CANDIDATE,0.503
7186665,1,K03033.01,FALSE POSITIVE,0.5
8655354,2,,,0.5
6762829,5,,,0.5
11246161,2,,,0.5
5014753,2,,,0.5
2438502,2,,,0.481
5816165,1,K01043.01,FALSE POSITIVE,0.471
9632895,2,,,0.462
4939265,3,,,0.462
12115188,2,,,0.462
10514770,2,,,0.458
3851949,2,,,0.458
9552608,2,,,0.458
8162789,1,K00521.01,CANDIDATE,0.457
8242681,2,,,0.455
5357470,2,,,0.455
3962728,2,,,0.452
7051984,2,,,0.452
11601584,4,K01831.04,CANDIDATE,0.448
8695779,2,,,0.444
6866228,2,,,0.444
12170648,2,,,0.429
3862246,2,,,0.429
9457728,1,K04637.01,CANDIDATE,0.429
9714123,2,,,0.429
4862625,2,,,0.429
5982353,2,,,0.429
8038679,1,,,0.424
4912991,2,,,0.423
6609270,2,K03090.02,FALSE POSITIVE,0.409
8823868,2,,,0.406
9710998,1,,,0.406
12302530,3,,,0.404
5780885,2,,,0.4
7299905,1,,,0.4
8681125,1,,,0.393
10710755,2,,,0.389
9491205,3,,,0.385
10514430,3,,,0.385
6785967,1,,,0.379
10068030,2,,,0.375
11249624,3,,,0.375
10024862,2,,,0.375
3834322,2,,,0.375
2452440,2,,,0.366
2163457,1,,,0.36
12207117,2,,,0.359
9451127,2,,,0.353
5990753,2,,,0.35
