kepid,tce_plnt_num,kepoi_name,bDT,bLR,mean
7037540,2,,1.0,0.9972114213355108,0.9986057106677554
10794087,1,K01316.01,1.0,0.9892180898858132,0.9946090449429066
7975727,2,,1.0,0.9880610143850441,0.9940305071925221
9446824,2,,1.0,0.9798370785321524,0.9899185392660762
3831053,1,K00388.01,1.0,0.9796407402000484,0.9898203701000242
8180020,2,,1.0,0.9778501424485572,0.9889250712242785
8176650,2,,1.0,0.9757665358870712,0.9878832679435356
5376836,2,,1.0,0.9748339693972656,0.9874169846986328
5370302,2,,1.0,0.9726782069886759,0.986339103494338
3734868,2,,1.0,0.9703571169793598,0.98517855848968
5534941,1,K02332.01,1.0,0.9697479154681828,0.9848739577340915
9838975,2,,1.0,0.9637109404999936,0.9818554702499969
2574338,1,K01030.01,1.0,0.9497521988758866,0.9748760994379433
2718778,1,K02489.01,1.0,0.9495030773235704,0.9747515386617852
4735826,2,,1.0,0.9473528148040948,0.9736764074020474
9288786,2,,1.0,0.9465667801110984,0.9732833900555492
5786676,1,K00650.01,1.0,0.9435522956369856,0.9717761478184928
9071386,2,,1.0,0.9327227906486656,0.9663613953243329
10016874,1,K00426.01,1.0,0.9240108001280241,0.962005400064012
4840513,2,,1.0,0.9165167358499798,0.9582583679249899
7584650,1,K02631.01,1.0,0.9113299277965992,0.9556649638982996
8552719,2,K01792.02,1.0,0.9088994760743372,0.9544497380371686
8953257,2,,1.0,0.9026439678680116,0.9513219839340058
10904857,2,,1.0,0.8982302528122297,0.9491151264061148
5035972,2,,1.0,0.8845238127671089,0.9422619063835544
1026957,1,K00958.01,1.0,0.8787782784163064,0.9393891392081533
8263545,1,K02822.01,1.0,0.8703344262833206,0.9351672131416603
10091110,3,,1.0,0.8531126483414971,0.9265563241707486
10616571,3,,1.0,0.8454299582406704,0.9227149791203352
6698670,2,,1.0,0.8217408566063795,0.9108704283031898
5780885,2,,1.0,0.8167188504704821,0.908359425235241
9649222,2,,1.0,0.8141206896167702,0.9070603448083852
11126381,1,K01863.01,1.0,0.8053109428878884,0.9026554714439442
4851464,2,,1.0,0.8041375608102608,0.9020687804051304
7450747,1,K04267.01,1.0,0.7978822587201377,0.8989411293600689
7935997,1,,1.0,0.7877385107190992,0.8938692553595495
8892910,2,,1.0,0.7760131412027627,0.8880065706013813
5724810,1,,1.0,0.7623416913483665,0.8811708456741832
8953059,2,,1.0,0.7566530450144389,0.8783265225072194
11192235,1,K02329.01,1.0,0.7561895420533006,0.8780947710266502
11465950,1,K02620.01,1.0,0.7515320140895467,0.8757660070447734
2581316,2,K03681.02,1.0,0.7422147793146718,0.8711073896573359
5213230,1,K03474.01,1.0,0.7378185645705895,0.8689092822852947
10485250,2,,1.0,0.7368942825565543,0.8684471412782772
2440757,1,K00792.01,1.0,0.7306363810890382,0.8653181905445191
5372966,2,,1.0,0.7286454747345525,0.8643227373672763
10843431,1,K07378.01,1.0,0.7218205347984781,0.860910267399239
9714123,2,,1.0,0.7108086663972571,0.8554043331986285
11030475,2,,1.0,0.7081031997502665,0.8540515998751332
3102000,2,,1.0,0.706377603140546,0.853188801570273
11709124,2,,1.0,0.7003044107598149,0.8501522053799074
5978559,1,K02321.01,1.0,0.6948301170870319,0.847415058543516
9346253,2,,1.0,0.6874213159884749,0.8437106579942375
11408935,2,,1.0,0.6836925420217017,0.8418462710108509
5270698,2,,1.0,0.6777434510830838,0.8388717255415419
8230809,2,,1.0,0.6771921000704547,0.8385960500352274
5728283,2,,1.0,0.6768070098181114,0.8384035049090557
6500206,2,,1.0,0.6530768769262927,0.8265384384631463
4650733,1,K01659.01,1.0,0.6474157105696905,0.8237078552848452
5980783,1,K02967.01,1.0,0.6459290381414661,0.8229645190707331
3757778,2,,1.0,0.6341223746979058,0.8170611873489528
5042210,1,K02462.01,1.0,0.6335850718510854,0.8167925359255427
11404644,2,,1.0,0.6313168078461517,0.8156584039230759
8845026,2,,1.0,0.6308198119222199,0.81540990596111
7023960,2,,1.0,0.6273239492255815,0.8136619746127908
9411166,2,,1.0,0.6215238606863143,0.8107619303431571
8753896,2,,1.0,0.6214545519802515,0.8107272759901257
6041734,2,,1.0,0.6171490704933388,0.8085745352466693
7449554,1,K02357.01,1.0,0.5831445351873102,0.7915722675936552
3231341,5,,1.0,0.5564361612059767,0.7782180806029884
12009347,2,,1.0,0.5338593215734542,0.7669296607867271
6762829,5,,1.0,0.5290818644744969,0.7645409322372485
1571511,2,,1.0,0.5083197106498372,0.7541598553249186
7678434,2,K00892.02,1.0,0.5018404244630468,0.7509202122315234
