kepid,tce_plnt_num,kepoi_name,koi_disposition,bRF_vif,bLR
5370302,2,,,0.975,0.97283842096745
7037540,2,,,0.935,0.9972078931214066
8176650,2,,,0.95,0.9757764496390876
9838975,2,,,0.91,0.9637848503951092
9446824,2,,,0.8883333333333333,0.9798609104583098
7975727,2,,,0.87,0.9880985930043652
8180020,2,,,0.8725,0.9779364156136288
10794087,1,K01316.01,FALSE POSITIVE,0.8574999999999999,0.9892027100580424
5376836,2,,,0.8691666666666666,0.975010634854859
3970233,2,,,0.8533333333333333,0.9721774550463472
8552719,2,K01792.02,FALSE POSITIVE,0.9075,0.909302867653159
12504988,2,,,0.8441666666666666,0.9658028396753005
4840513,2,,,0.88,0.9166591630776944
3734868,2,,,0.8225,0.9705486469274636
7584650,1,K02631.01,FALSE POSITIVE,0.865,0.9108807975270121
9995771,1,K03470.01,FALSE POSITIVE,0.7858333333333334,0.9640796463490624
5786676,1,K00650.01,FALSE POSITIVE,0.795,0.9435437788958112
5872150,3,,,0.7516666666666667,0.9611761917685856
10016874,1,K00426.01,FALSE POSITIVE,0.7866666666666666,0.9242254286209176
10904857,2,,,0.8025,0.8986947458657927
9071386,2,,,0.7491666666666668,0.9329053066865856
10616571,3,,,0.83,0.8457273804785451
5534941,1,K02332.01,FALSE POSITIVE,0.7008333333333334,0.9698010244726044
9288786,2,,,0.7066666666666667,0.9466557274422804
3342592,2,,,0.78,0.8639791462110773
10091110,3,,,0.7875,0.8534648877675332
2581316,2,K03681.02,FALSE POSITIVE,0.8858333333333334,0.7434660130016679
6762829,2,,,0.6966666666666667,0.9250462161484321
5775129,1,K02802.01,FALSE POSITIVE,0.7316666666666667,0.8741586789823745
4814502,1,K04004.01,FALSE POSITIVE,0.7391666666666667,0.8649848966620733
5356593,2,,,0.7625,0.8312294144355405
4242147,1,K01934.01,FALSE POSITIVE,0.815,0.7667095735176646
8953059,2,,,0.8,0.7570214269864773
5035972,2,,,0.6699999999999999,0.8848026452156703
5978559,1,K02321.01,FALSE POSITIVE,0.8575,0.6953141408131642
8953257,2,,,0.64,0.9029268255776272
3097926,1,K02186.01,FALSE POSITIVE,0.7891666666666667,0.7494062484791
11709124,2,,,0.8216666666666667,0.7005503728619059
2574338,1,K01030.01,FALSE POSITIVE,0.5566666666666666,0.9498333570409332
5372966,2,,,0.77,0.7295776613110111
5780885,2,,,0.6799999999999999,0.8166020310473305
1026957,1,K00958.01,FALSE POSITIVE,0.6125,0.8788702159678119
8263545,1,K02822.01,FALSE POSITIVE,0.6174999999999999,0.8706926078524811
9411166,2,,,0.86,0.6217104614332596
11465950,1,K02620.01,FALSE POSITIVE,0.725,0.7516499644410083
6698670,2,,,0.6508333333333334,0.8220630651856848
4851464,2,,,0.6666666666666667,0.8047904964273186
8892910,2,,,0.6841666666666667,0.7771910647461997
11126381,1,K01863.01,FALSE POSITIVE,0.645,0.805476210535626
7972785,2,,,0.8608333333333333,0.5763933239131664
9649222,2,,,0.6116666666666666,0.8144421962830907
4650733,1,K01659.01,FALSE POSITIVE,0.77,0.6477287978810989
11030475,2,,,0.675,0.7076831308936312
2449431,1,K02009.01,FALSE POSITIVE,0.5741666666666667,0.8079750312166121
8043714,2,,,0.7066666666666667,0.6669951953627862
8686150,2,,,0.5458333333333334,0.8172703483862725
4665571,2,K02393.02,FALSE POSITIVE,0.5675000000000001,0.7888060152593548
8823868,2,,,0.5941666666666666,0.7398114820451769
5270698,2,,,0.6491666666666667,0.6779904637305371
5213230,1,K03474.01,FALSE POSITIVE,0.5700000000000001,0.7384803515180604
1571511,2,,,0.8,0.5078259260176403
3102000,2,,,0.6,0.7069042543726416
6041734,2,,,0.6891666666666667,0.6176121073487651
10418797,2,,,0.52,0.7739845534181503
7449554,1,K02357.01,FALSE POSITIVE,0.7033333333333334,0.5834569458395643
3231341,5,,,0.7025,0.5568243548241446
5980783,1,K02967.01,FALSE POSITIVE,0.6074999999999999,0.6467383970918366
11408935,2,,,0.5650000000000001,0.6839469819773711
11404644,2,,,0.6050000000000001,0.6317955521181675
9346253,2,,,0.5383333333333333,0.687283306464557
12115188,2,,,0.6191666666666666,0.59231912418455
5042210,1,K02462.01,FALSE POSITIVE,0.5683333333333334,0.6340698787302735
8753896,2,,,0.5516666666666667,0.6208523846555869
10186945,2,,,0.5900000000000001,0.5803529034307359
5031857,2,K01573.02,FALSE POSITIVE,0.5716666666666667,0.5952314088669606
6500206,2,,,0.5116666666666667,0.6530613341423244
6805146,2,,,0.5275000000000001,0.5264607213480406
9886224,2,,,0.5033333333333334,0.5320455114268056
